Experiment,Inoculum_source,Rep,Time_hai,Germinated,Non_germinated,Total
exp1,Corn,1,24,30,74,104
exp1,Corn,2,24,25,68,93
exp1,Corn,3,24,31,79,110
exp1,Corn,4,24,44,44,88
exp1,Goosegrass,1,24,77,8,85
exp1,Goosegrass,2,24,89,5,94
exp1,Goosegrass,3,24,80,9,89
exp1,Goosegrass,4,24,76,15,91
exp2,Corn,1,24,1,107,108
exp2,Corn,2,24,2,103,105
exp2,Corn,3,24,11,115,126
exp2,Corn,4,24,15,138,153
exp2,Goosegrass,1,24,10,90,100
exp2,Goosegrass,2,24,11,82,93
exp2,Goosegrass,3,24,14,123,137
exp2,Goosegrass,4,24,21,75,96
exp3,Corn,1,24,0,164,164
exp3,Corn,2,24,18,190,208
exp3,Corn,3,24,8,127,135
exp3,Corn,4,24,18,91,109
exp3,Goosegrass,1,24,11,104,115
exp3,Goosegrass,2,24,2,110,112
exp3,Goosegrass,3,24,23,93,116
exp3,Goosegrass,4,24,24,56,80
exp4,Corn,1,24,52,106,158
exp4,Corn,2,24,58,168,226
exp4,Corn,3,24,67,109,176
exp4,Corn,4,24,49,133,182
exp4,Goosegrass,1,24,22,164,186
exp4,Goosegrass,2,24,11,188,199
exp4,Goosegrass,3,24,35,154,189
exp4,Goosegrass,4,24,36,119,155
