Experiment,Inoculum_source,Leaf_sheath_host,Rep,Time_hai,Germinated,Non_germinated,Total
exp1,Corn,Corn,1,24,14,1,15
exp1,Corn,Corn,1,48,11,4,15
exp1,Corn,Corn,2,24,14,1,15
exp1,Corn,Corn,2,48,15,0,15
exp1,Corn,Corn,3,24,12,3,15
exp1,Corn,Corn,3,48,14,1,15
exp1,Corn,Corn,4,24,13,2,15
exp1,Corn,Corn,4,48,14,1,15
exp1,Goosegrass,Corn,1,24,14,1,15
exp1,Goosegrass,Corn,1,48,6,9,15
exp1,Goosegrass,Corn,2,24,8,7,15
exp1,Goosegrass,Corn,2,48,4,11,15
exp1,Goosegrass,Corn,3,24,7,8,15
exp1,Goosegrass,Corn,3,48,6,9,15
exp1,Goosegrass,Corn,4,24,5,10,15
exp1,Goosegrass,Corn,4,48,3,12,15
exp2,Corn,Corn,1,24,13,2,15
exp2,Corn,Corn,1,48,13,2,15
exp2,Corn,Corn,2,24,13,2,15
exp2,Corn,Corn,2,48,9,6,15
exp2,Corn,Corn,3,24,9,6,15
exp2,Corn,Corn,3,48,8,7,15
exp2,Corn,Corn,4,24,12,3,15
exp2,Corn,Corn,4,48,10,5,15
exp2,Goosegrass,Corn,1,24,7,8,15
exp2,Goosegrass,Corn,1,48,10,5,15
exp2,Goosegrass,Corn,2,24,11,4,15
exp2,Goosegrass,Corn,2,48,5,10,15
exp2,Goosegrass,Corn,3,24,9,6,15
exp2,Goosegrass,Corn,3,48,6,9,15
exp2,Goosegrass,Corn,4,24,6,9,15
exp2,Goosegrass,Corn,4,48,11,4,15
exp3,Corn,Goosegrass,1,24,10,5,15
exp3,Corn,Goosegrass,1,48,11,4,15
exp3,Corn,Goosegrass,2,24,5,10,15
exp3,Corn,Goosegrass,2,48,11,4,15
exp3,Corn,Goosegrass,3,24,11,4,15
exp3,Corn,Goosegrass,3,48,10,5,15
exp3,Corn,Goosegrass,4,24,7,8,15
exp3,Corn,Goosegrass,4,48,10,5,15
exp3,Goosegrass,Goosegrass,1,24,7,8,15
exp3,Goosegrass,Goosegrass,1,48,6,9,15
exp3,Goosegrass,Goosegrass,2,24,9,6,15
exp3,Goosegrass,Goosegrass,2,48,9,6,15
exp3,Goosegrass,Goosegrass,3,24,6,9,15
exp3,Goosegrass,Goosegrass,3,48,11,4,15
exp3,Goosegrass,Goosegrass,4,24,9,6,15
exp3,Goosegrass,Goosegrass,4,48,8,7,15
exp4,Corn,Goosegrass,1,24,6,9,15
exp4,Corn,Goosegrass,1,48,10,5,15
exp4,Corn,Goosegrass,2,24,15,0,15
exp4,Corn,Goosegrass,2,48,10,5,15
exp4,Corn,Goosegrass,3,24,9,6,15
exp4,Corn,Goosegrass,3,48,9,6,15
exp4,Corn,Goosegrass,4,24,9,6,15
exp4,Corn,Goosegrass,4,48,9,6,15
exp4,Goosegrass,Goosegrass,1,24,6,9,15
exp4,Goosegrass,Goosegrass,1,48,4,11,15
exp4,Goosegrass,Goosegrass,2,24,15,0,15
exp4,Goosegrass,Goosegrass,2,48,8,7,15
exp4,Goosegrass,Goosegrass,3,24,10,5,15
exp4,Goosegrass,Goosegrass,3,48,10,5,15
exp4,Goosegrass,Goosegrass,4,24,6,9,15
exp4,Goosegrass,Goosegrass,4,48,12,3,15
